01012012-cell-1,7.770878e+02,4.606763e+02,3,7.955186e-01,3,1.813542e+00,8.634309e+01,1.579282e+02,1.500000e+00,2.923394e-01,1.535148e+00,5.997186e+00,9.085619e+01,-2.198247e+01,1,5,3,6,6,4,4,4,4,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
01012012-cell-5,4.150758e+02,2.025354e+02,3,8.943473e-01,3,1.758410e+00,5.188448e+01,7.966735e+01,1.555556e+00,5.398110e-01,7.507482e+00,5.930108e+00,4.820978e+01,-4.188065e+00,1,4,4,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
01042012-cell-1,7.884714e+02,2.718722e+02,4,9.067784e-01,2,1.636212e+00,7.167922e+01,1.071865e+02,1.416667e+00,4.641241e-01,1.068687e+01,1.901582e+01,2.015155e+00,-2.228351e+00,1,5,3,5,4,4,5,5,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,
01042012-cell-5,7.706915e+02,3.766303e+02,2,9.075778e-01,2,2.291835e+00,1.100988e+02,1.487644e+02,1.125000e+00,6.923240e-01,2.717719e+00,-2.344488e+01,1.012694e+02,-3.864817e+00,1,5,3,3,3,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,
010626DS1,4.612222e+03,8.603623e+02,37,7.255601e-01,9,1.437584e+00,5.913105e+01,2.201153e+02,4.708861e+00,2.166037e+00,4.482957e+01,-1.268635e+02,1.099635e+01,-5.338128e+00,1,8,12,24,22,22,22,14,12,8,6,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,3,0,
010920-slice2-cellB,1.727253e+03,5.266886e+02,25,6.998198e-01,9,1.223116e+00,3.321641e+01,1.449838e+02,4.679245e+00,4.429352e-01,5.204444e-01,-1.754789e+00,7.911543e+01,1.989310e+01,1,4,5,8,12,12,8,12,4,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,3,3,5,5,5,7,6,5,4,2,1,1,1,1,1,1,2,2,2,2,2,0,
01112012-cell-1,4.467734e+02,3.491097e+02,2,8.686841e-01,2,3.027770e+00,7.446224e+01,1.676069e+02,1.142857e+00,1.738873e-01,7.764951e+00,4.243977e+00,1.483072e+02,-3.658750e+00,1,4,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,
01112012-cell-2,9.405026e+02,2.762392e+02,4,9.036130e-01,3,1.492516e+00,6.717876e+01,1.021786e+02,1.466667e+00,1.312838e+00,3.086349e+01,4.110273e+01,4.420263e+01,-7.325854e-01,1,8,6,6,6,7,7,7,7,5,7,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,
01122012-cell-2,1.028393e+03,3.463420e+02,5,8.627081e-01,3,1.946907e+00,7.345663e+01,1.431137e+02,1.733333e+00,4.309104e-01,9.273057e+00,2.716395e+01,5.091028e+01,5.366698e+00,1,6,4,4,4,4,4,4,4,4,3,3,3,3,4,4,7,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,2,2,2,2,2,2,1,1,0,
01122012-cell-3,1.417881e+03,4.593683e+02,4,9.044621e-01,2,1.620255e+00,1.181568e+02,1.985413e+02,1.384615e+00,1.928041e-01,5.658902e+00,1.331184e+01,1.631280e+02,3.237617e+00,1,6,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,0,
01122012-cell-5,8.914155e+02,3.545920e+02,3,8.734927e-01,2,1.893264e+00,9.904617e+01,1.508660e+02,1.300000e+00,3.093299e-01,1.454330e+01,2.826691e+01,5.604831e+00,4.089322e+00,1,5,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,
01122012-cell-6,1.111870e+03,3.261957e+02,4,8.436156e-01,3,1.619593e+00,8.552850e+01,1.069707e+02,1.500000e+00,3.178133e-01,1.345138e+01,-2.504505e+01,2.724711e+01,-9.250871e-02,1,7,5,5,8,5,5,4,5,5,7,6,6,6,4,4,4,4,4,4,5,7,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
01122012-cell-7,7.234342e+02,2.440451e+02,2,9.041725e-01,2,1.777390e+00,8.038158e+01,8.332034e+01,1.100000e+00,5.191272e-01,1.776576e+01,5.097518e+01,-2.531471e+00,-6.178235e-01,1,7,5,5,6,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,
01132012-cell-4,1.200457e+03,3.635783e+02,3,8.412829e-01,2,1.563800e+00,1.200457e+02,1.417689e+02,1.272727e+00,4.500768e-01,2.006250e+01,4.296586e+01,7.686291e+01,-1.955000e+00,1,6,4,9,5,5,4,6,4,4,4,4,4,4,4,4,5,5,3,3,3,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,0,
020227-slice1,5.799920e+03,6.058690e+02,123,5.078421e-01,24,1.344853e+00,2.338677e+01,2.074450e+02,8.907631e+00,9.686678e-01,5.793010e+00,-1.805042e+01,-4.767479e+01,1.349208e+00,1,4,4,9,10,15,23,33,26,37,32,40,37,40,38,37,36,31,32,29,28,38,36,26,18,19,19,28,17,15,11,9,11,10,11,7,6,7,9,4,5,4,4,4,3,2,2,2,2,0,
020227-slice2,3.098962e+03,3.584907e+02,36,8.184148e-01,7,1.066940e+00,4.024626e+01,1.390148e+02,4.115385e+00,3.987274e-01,8.889259e+00,-3.371049e+00,1.730967e+01,2.903398e+00,1,7,10,15,15,13,18,13,13,13,11,12,12,10,11,10,10,9,8,9,8,7,9,6,7,7,7,7,7,8,10,8,5,7,5,5,5,4,4,3,3,4,3,4,3,3,2,2,1,0,
020227-slice4,2.487497e+03,3.115103e+02,24,6.812174e-01,7,1.419057e+00,4.783649e+01,1.216754e+02,3.169811e+00,1.296189e+00,4.717073e+00,-1.559471e+00,2.719964e+01,1.656663e+01,1,6,6,6,7,14,13,10,11,11,14,15,16,13,17,14,21,15,14,13,13,18,25,22,15,15,14,8,7,7,7,6,6,6,6,5,6,3,5,6,2,2,2,2,2,2,2,2,1,0,
020315-2-ST,2.102598e+04,1.338623e+03,416,5.933568e-01,29,1.419904e+00,2.524127e+01,5.773770e+02,1.533933e+01,7.192245e-01,2.447120e+00,-1.352306e+01,3.026338e+02,2.164518e+01,1,9,24,31,43,49,34,26,28,28,20,16,17,16,11,7,9,9,9,8,10,7,7,5,5,5,5,12,12,9,9,6,7,8,16,21,18,21,23,42,43,43,60,46,29,20,8,4,4,0,
020315-3-ST,2.498535e+04,1.307966e+03,607,6.392345e-01,44,1.469864e+00,2.051342e+01,3.541131e+02,1.579820e+01,6.985418e-01,7.586802e+00,-1.984586e+01,1.081241e+02,1.891660e+01,1,10,18,27,32,40,49,43,56,56,64,57,72,69,79,77,62,46,48,28,23,9,12,7,6,8,6,7,5,4,4,3,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,7,0,
020421,1.102235e+03,1.698108e+02,29,8.079176e-01,10,1.811456e+00,1.777798e+01,7.079750e+01,4.603175e+00,6.129761e-01,7.125298e+00,3.226540e+01,1.827275e+01,8.286449e+00,1,6,6,6,4,4,4,7,8,7,6,6,8,9,10,11,9,12,10,14,12,9,10,10,10,10,10,9,8,7,6,5,6,6,5,5,5,5,3,2,1,1,1,1,1,1,1,2,2,0,
020515-2-NPY,1.380876e+04,6.332316e+02,205,4.136417e-01,15,1.439724e+00,3.351641e+01,2.648507e+02,8.411622e+00,9.964772e-01,2.233158e+00,7.747553e+00,-2.763142e+01,4.568377e+00,1,4,4,7,8,19,20,32,44,51,63,78,92,86,71,73,76,69,70,77,78,58,59,57,60,54,48,45,44,37,27,20,15,17,13,15,14,15,12,11,11,8,8,10,5,5,3,4,1,0,
